# HELP response_time Milliseconds in total to for UniView Server to respond the client requests.
# TYPE response_time histogram
response_time_sum{method="GetPatient"} +Inf0.5342
response_time_count{method="GetPatient"} 1
response_time_bucket{method="GetPatient",le="1"} 0
response_time_bucket{method="GetPatient",le="2"} 0
response_time_bucket{method="GetPatient",le="3"} 0
response_time_bucket{method="GetPatient",le="4"} 0
response_time_bucket{method="GetPatient",le="5"} 0
response_time_bucket{method="GetPatient",le="6"} 0
response_time_bucket{method="GetPatient",le="7"} 0
response_time_bucket{method="GetPatient",le="8"} 0
response_time_bucket{method="GetPatient",le="9"} 0
response_time_bucket{method="GetPatient",le="10"} 0
response_time_bucket{method="GetPatient",le="20"} 0
response_time_bucket{method="GetPatient",le="30"} 0
response_time_bucket{method="GetPatient",le="40"} 0
response_time_bucket{method="GetPatient",le="50"} 0
response_time_bucket{method="GetPatient",le="60"} 0
response_time_bucket{method="GetPatient",le="70"} 0
response_time_bucket{method="GetPatient",le="80"} 0
response_time_bucket{method="GetPatient",le="90"} 0
response_time_bucket{method="GetPatient",le="100"} 0
response_time_bucket{method="GetPatient",le="200"} 0
response_time_bucket{method="GetPatient",le="300"} 0
response_time_bucket{method="GetPatient",le="400"} 0
response_time_bucket{method="GetPatient",le="500"} 0
response_time_bucket{method="GetPatient",le="600"} 0
response_time_bucket{method="GetPatient",le="700"} 0
response_time_bucket{method="GetPatient",le="800"} 0
response_time_bucket{method="GetPatient",le="900"} 0
response_time_bucket{method="GetPatient",le="1000"} 0
response_time_bucket{method="GetPatient",le="1500"} 0
response_time_bucket{method="GetPatient",le="2000"} 0
response_time_bucket{method="GetPatient",le="2500"} 0
response_time_bucket{method="GetPatient",le="3000"} 0
response_time_bucket{method="GetPatient",le="3500"} 0
response_time_bucket{method="GetPatient",le="4000"} 0
response_time_bucket{method="GetPatient",le="4500"} 0
response_time_bucket{method="GetPatient",le="5000"} 0
response_time_bucket{method="GetPatient",le="5500"} 0
response_time_bucket{method="GetPatient",le="6000"} 0
response_time_bucket{method="GetPatient",le="6500"} 0
response_time_bucket{method="GetPatient",le="7000"} 0
response_time_bucket{method="GetPatient",le="7500"} 0
response_time_bucket{method="GetPatient",le="8000"} 0
response_time_bucket{method="GetPatient",le="8500"} 0
response_time_bucket{method="GetPatient",le="9000"} 0
response_time_bucket{method="GetPatient",le="9500"} 0
response_time_bucket{method="GetPatient",le="10000"} 0
response_time_bucket{method="GetPatient",le="15000"} 0
response_time_bucket{method="GetPatient",le="30000"} 0
response_time_bucket{method="GetPatient",le="+Inf"} 1
response_time_sum{method="GetImageMetadata"} 8360000.5342
response_time_count{method="GetImageMetadata"} 494
response_time_bucket{method="GetImageMetadata",le="1"} 0
response_time_bucket{method="GetImageMetadata",le="2"} 0
response_time_bucket{method="GetImageMetadata",le="3"} 0
response_time_bucket{method="GetImageMetadata",le="4"} 0
response_time_bucket{method="GetImageMetadata",le="5"} 0
response_time_bucket{method="GetImageMetadata",le="6"} 0
response_time_bucket{method="GetImageMetadata",le="7"} 0
response_time_bucket{method="GetImageMetadata",le="8"} 0
response_time_bucket{method="GetImageMetadata",le="9"} 0
response_time_bucket{method="GetImageMetadata",le="10"} 0
response_time_bucket{method="GetImageMetadata",le="20"} 0
response_time_bucket{method="GetImageMetadata",le="30"} 0
response_time_bucket{method="GetImageMetadata",le="40"} 0
response_time_bucket{method="GetImageMetadata",le="50"} 0
response_time_bucket{method="GetImageMetadata",le="60"} 0
response_time_bucket{method="GetImageMetadata",le="70"} 0
response_time_bucket{method="GetImageMetadata",le="80"} 0
response_time_bucket{method="GetImageMetadata",le="90"} 0
response_time_bucket{method="GetImageMetadata",le="100"} 0
response_time_bucket{method="GetImageMetadata",le="200"} 0
response_time_bucket{method="GetImageMetadata",le="300"} 0
response_time_bucket{method="GetImageMetadata",le="400"} 0
response_time_bucket{method="GetImageMetadata",le="500"} 0
response_time_bucket{method="GetImageMetadata",le="600"} 0
response_time_bucket{method="GetImageMetadata",le="700"} 0
response_time_bucket{method="GetImageMetadata",le="800"} 0
response_time_bucket{method="GetImageMetadata",le="900"} 0
response_time_bucket{method="GetImageMetadata",le="1000"} 0
response_time_bucket{method="GetImageMetadata",le="1500"} 388
response_time_bucket{method="GetImageMetadata",le="2000"} 457
response_time_bucket{method="GetImageMetadata",le="2500"} 473
response_time_bucket{method="GetImageMetadata",le="3000"} 480
response_time_bucket{method="GetImageMetadata",le="3500"} 488
response_time_bucket{method="GetImageMetadata",le="4000"} 493
response_time_bucket{method="GetImageMetadata",le="4500"} 493
response_time_bucket{method="GetImageMetadata",le="5000"} 493
response_time_bucket{method="GetImageMetadata",le="5500"} 493
response_time_bucket{method="GetImageMetadata",le="6000"} 493
response_time_bucket{method="GetImageMetadata",le="6500"} 493
response_time_bucket{method="GetImageMetadata",le="7000"} 494
response_time_bucket{method="GetImageMetadata",le="7500"} 494
response_time_bucket{method="GetImageMetadata",le="8000"} 494
response_time_bucket{method="GetImageMetadata",le="8500"} 494
response_time_bucket{method="GetImageMetadata",le="9000"} 494
response_time_bucket{method="GetImageMetadata",le="9500"} 494
response_time_bucket{method="GetImageMetadata",le="10000"} 494
response_time_bucket{method="GetImageMetadata",le="15000"} 494
response_time_bucket{method="GetImageMetadata",le="30000"} 494
response_time_bucket{method="GetImageMetadata",le="+Inf"} 494
response_time_sum{method="Logout"} 1566000.5342
response_time_count{method="Logout"} 200
response_time_bucket{method="Logout",le="1"} 0
response_time_bucket{method="Logout",le="2"} 0
response_time_bucket{method="Logout",le="3"} 0
response_time_bucket{method="Logout",le="4"} 0
response_time_bucket{method="Logout",le="5"} 0
response_time_bucket{method="Logout",le="6"} 0
response_time_bucket{method="Logout",le="7"} 0
response_time_bucket{method="Logout",le="8"} 0
response_time_bucket{method="Logout",le="9"} 0
response_time_bucket{method="Logout",le="10"} 0
response_time_bucket{method="Logout",le="20"} 0
response_time_bucket{method="Logout",le="30"} 0
response_time_bucket{method="Logout",le="40"} 0
response_time_bucket{method="Logout",le="50"} 0
